method,method_type,compute,date_introduced,reference_url,all__pos,all__elo,all__elo+,all__elo-,all__rank,all__winrate,all__improvability,all__imputed,all__time_train_s,all__time_infer_s,all__rank=1_count,classification__pos,classification__elo,classification__elo+,classification__elo-,classification__rank,classification__winrate,classification__improvability,classification__imputed,classification__time_train_s,classification__time_infer_s,classification__rank=1_count,binary__pos,binary__elo,binary__elo+,binary__elo-,binary__rank,binary__winrate,binary__improvability,binary__imputed,binary__time_train_s,binary__time_infer_s,binary__rank=1_count,multiclass__pos,multiclass__elo,multiclass__elo+,multiclass__elo-,multiclass__rank,multiclass__winrate,multiclass__improvability,multiclass__imputed,multiclass__time_train_s,multiclass__time_infer_s,multiclass__rank=1_count,regression__pos,regression__elo,regression__elo+,regression__elo-,regression__rank,regression__winrate,regression__improvability,regression__imputed,regression__time_train_s,regression__time_infer_s,regression__rank=1_count
XGB (tuned),hpo,cpu,2014-03,https://arxiv.org/abs/1603.02754,34.0,1328.6,41.9,46.0,36.90196078431372,0.5776239907727797,0.16690504937042525,0.0,5938.998393348619,1.6265712625840132,0.0,33.0,1328.4,65.3,66.1,37.026315789473685,0.5761609907120743,0.18945687318007023,0.0,5799.34833753109,1.27206594065616,0.0,34.0,1324.4,74.6,74.0,37.833333333333336,0.5666666666666667,0.18456230515190203,0.0,5693.145612215996,1.2760614474614462,0.0,29.0,1371.0,83.3,66.1,34.0,0.611764705882353,0.20781150328570092,0.0,6197.608557462692,1.2570827901363373,0.0,35.0,1417.7,58.0,59.1,36.53846153846154,0.5819004524886878,0.10098433361915528,0.0,6347.206248815243,2.662817588219276,0.0
XRFM_GPU (tuned + ensemble),hpo,gpu,2025-08,https://arxiv.org/abs/2508.10053,35.0,1323.0,57.9,46.5,37.411764705882355,0.5716262975778547,0.16792819058325356,0.0,14022.497099048951,27.070390402102003,0.0,39.0,1301.9,69.0,54.4,39.5,0.5470588235294118,0.19590432937223232,0.0,16688.286808672703,33.76872197577828,0.0,42.0,1291.2,63.5,81.8,40.96666666666667,0.5298039215686274,0.18661557520293334,0.0,16991.679954560597,38.753826506932576,0.0,28.0,1371.0,222.5,187.0,34.0,0.611764705882353,0.23073715750710355,0.0,15550.562511593103,15.07457998394966,0.0,26.0,1495.8,132.7,99.8,31.307692307692307,0.6434389140271494,0.08615178489239267,0.0,6230.188717071826,7.490651955971351,0.0
TABPFNV2_GPU (tuned + ensemble),hpo,gpu,2025-01,https://www.nature.com/articles/s41586-024-08328-6,36.0,1313.5,67.6,68.5,38.28431372549019,0.561361014994233,0.17537951579887756,0.35294117647058826,9280.937638614692,101.0832102392234,0.0,36.0,1316.3,92.1,81.0,38.1578947368421,0.5628482972136223,0.20612275132676455,0.3157894736842105,10009.281363907614,114.13957280861705,0.0,40.0,1296.5,82.1,76.1,40.46666666666667,0.5356862745098039,0.20169739266365358,0.3333333333333333,11570.361415306726,134.84050192832947,0.0,21.0,1425.9,280.4,182.1,29.5,0.6647058823529411,0.2227178463134306,0.25,4155.231171160936,36.511088609695435,0.0,38.0,1387.2,204.8,147.1,38.65384615384615,0.5570135746606335,0.08551467348659249,0.46153846153846156,7151.932903143076,62.91845811330355,0.0
TA-ILTM (tuned),hpo,gpu,2025-11,https://arxiv.org/abs/2511.15941,37.0,1291.4,43.8,42.2,40.333333333333336,0.5372549019607843,0.17070533552885883,0.0,49850.45392826492,171.2311054865519,0.0,41.0,1298.0,53.3,52.1,39.86842105263158,0.5427244582043343,0.193358307754567,0.0,48797.76559668466,168.78216263494994,0.0,38.0,1309.9,55.5,52.4,39.2,0.5505882352941176,0.1834459334656126,0.0,50715.77546584606,161.32966318130494,0.0,47.0,1273.2,146.5,112.8,42.375,0.513235294117647,0.2305297113381461,0.0,41605.22858732939,196.7290355861187,0.0,41.0,1344.1,109.3,77.5,41.69230769230769,0.5212669683257919,0.10448895517678872,0.0,52927.54289749952,178.38955382200388,0.0
MITRA_GPU (default),config,gpu,2025-07,https://arxiv.org/abs/2510.21204,38.0,1290.7,53.0,65.3,40.3921568627451,0.5365628604382929,0.18293401293594566,0.35294117647058826,417.8125674724579,6.376229664858649,0.0,38.0,1304.4,84.4,72.4,39.26315789473684,0.5498452012383901,0.20918752288251866,0.3157894736842105,508.1057796854722,7.653559653382552,0.0,44.0,1286.9,98.1,77.6,41.38333333333333,0.5249019607843137,0.2035563103452887,0.3333333333333333,565.5180269400279,8.931526120503744,0.0,24.0,1403.5,196.8,159.6,31.3125,0.6433823529411765,0.23030456989713094,0.25,292.80985248088837,2.8611854016780853,0.0,42.0,1316.0,125.3,104.8,43.69230769230769,0.497737556561086,0.10619298386134773,0.46153846153846156,153.8785625421084,2.6424958522503195,0.0
CHIMERA (default),config,cpu,2026-05-26,https://github.com/bbstats/chimeraboost,39.0,1283.6,52.1,51.4,41.05882352941177,0.528719723183391,0.18394072731984457,0.0,14.347385135351443,0.4173607919730392,0.0,40.0,1298.3,66.4,74.1,39.8421052631579,0.5430340557275541,0.20564854021907214,0.0,13.792038371688442,0.42762383661772074,0.0,36.0,1313.1,84.0,66.7,38.9,0.5541176470588235,0.18910740500308523,0.0,14.265903782844543,0.4873336315155029,0.0,48.0,1261.6,198.7,218.8,43.375,0.5014705882352941,0.2676777972790232,0.0,12.015043079853058,0.20371210575103757,0.0,44.0,1303.1,101.9,112.1,44.61538461538461,0.48687782805429863,0.12048712038364076,0.0,15.970706444520216,0.3873611230116624,0.0
XRFM_GPU (tuned),hpo,gpu,2025-08,https://arxiv.org/abs/2508.10053,40.0,1280.4,53.8,44.9,41.35294117647059,0.5252595155709343,0.1800259045580226,0.0,14022.497099048951,2.329889568628049,1.0,47.0,1257.3,65.8,58.2,43.71052631578947,0.49752321981424147,0.21026272043647307,0.0,16688.286808672703,2.9471926626406217,1.0,46.0,1253.8,58.7,67.7,44.53333333333333,0.48784313725490197,0.2009126906173434,0.0,16991.679954560597,2.8218817790349324,0.0,43.0,1293.5,256.4,210.9,40.625,0.5338235294117647,0.24532533225820924,0.0,15550.562511593103,3.417108476161957,1.0,32.0,1448.2,96.7,63.6,34.46153846153846,0.6063348416289592,0.09164136583639818,0.0,6230.188717071826,0.5254651399759145,0.0
TABDPT_GPU (default),config,gpu,2024-10,https://arxiv.org/abs/2410.18164,41.0,1276.3,68.6,66.7,41.73529411764706,0.5207612456747405,0.18262597305307743,0.0,583.167813721825,268.76904352506,0.0,52.0,1212.2,71.4,63.6,47.96052631578947,0.4475232198142415,0.22322924389681423,0.0,613.469927398782,283.2420857956535,0.0,51.0,1218.3,68.2,88.4,47.916666666666664,0.44803921568627453,0.2095570170661732,0.0,686.9072714567185,315.34600994586947,0.0,57.0,1206.0,255.5,182.7,48.125,0.4455882352941177,0.27450009451171814,0.0,338.07988718152046,162.85237023234367,0.0,20.0,1624.5,179.8,78.5,23.53846153846154,0.7348416289592761,0.06393948904830836,0.0,494.59240451225867,226.4632276571714,0.0
TA-TABM (default),config,gpu,2024-10,https://arxiv.org/abs/2410.24210,42.0,1273.2,46.5,49.8,42.029411764705884,0.5173010380622838,0.1802318925103289,0.0,65.02894820419013,0.9653628713944379,0.0,43.0,1286.9,60.4,55.9,40.9078947368421,0.5304953560371517,0.2056609551555595,0.0,65.24467963293979,1.0502251951318038,0.0,43.0,1287.2,82.8,75.0,41.35,0.5252941176470588,0.19182294876354328,0.0,67.05051782131196,0.9405364195505778,0.0,41.0,1309.4,200.3,155.9,39.25,0.55,0.2575534791256203,0.0,58.47278642654419,1.4615581035614014,0.0,45.0,1293.4,88.2,82.1,45.30769230769231,0.47873303167420816,0.10590078631657797,0.0,64.39834864322955,0.7173037712390606,0.0
TABICL_GPU (default),config,gpu,2025-02,https://arxiv.org/abs/2502.05564,43.0,1270.9,56.5,59.7,42.23529411764706,0.514878892733564,0.18210173842187685,0.29411764705882354,89.99167278701184,15.994201370314055,0.0,27.0,1355.9,75.9,65.5,34.51315789473684,0.6057275541795666,0.18581523080347875,0.05263157894736842,117.48550770157262,21.35919719620755,0.0,20.0,1380.8,72.4,59.3,32.666666666666664,0.6274509803921569,0.16337458163240257,0.03333333333333333,139.7918772538503,25.834517804781594,0.0,46.0,1284.0,201.2,171.3,41.4375,0.524264705882353,0.2699676651950144,0.125,33.83662188053131,4.576744914054871,0.0,72.0,1000.0,54.0,98.6,64.8076923076923,0.2493212669683258,0.1712469145371944,1.0,9.625078421372633,0.3119058792407696,0.0
