method,elo,elo+,elo-,rank,winrate,improvability,improvability+,improvability-,mrr,rank=1_count,rank=2_count,rank=3_count,rank>3_count,time_train_s,time_infer_s,time_train_s_per_1K,time_infer_s_per_1K,normalized-error,normalized-error-task,imputed,median_rank,median_improvability,median_loss_rescaled,median_metric_error,median_time_train_s,median_time_infer_s,median_time_train_s_per_1K,median_time_infer_s_per_1K,median_normalized-error,median_normalized-error-task,median_imputed,method_type,method_subtype,config_type,ta_name,ta_suite
SAP-RPT-OSS (default),1238.8,66.3,64.2,45.42156862745098,0.4834701322389421,0.19996818530956886,0.08379748529187506,0.05161179934658694,0.04220428102040184,0.0,1.0,0.0,50.0,368.97079745460957,164.92526029605492,22.3468034298531,10.989534989630988,0.8396223537768283,0.8396223537768283,0.0,51.0,0.13151169419185715,0.11869281950484656,0.21191281899820846,32.63795757293701,6.255738019943237,13.957656281335014,2.080574737587556,1.0,1.0,0.0,config,default,SAP-RPT-OSS,SAP-RPT-OSS,tabarena-2025-11-25
BETA_GPU (default),1236.9,61.6,51.0,45.59803921568628,0.48141814865481075,0.20043162440589,0.06927677170573851,0.05583323067996521,0.03062824407028983,0.0,0.0,0.0,51.0,1320.6601685963426,7.102449641508215,225.53498242379698,2.1957586686297246,0.8508062381733551,0.8508062381733551,0.2549019607843137,51.0,0.13717074309597976,0.12343966712898653,0.20819570099499296,470.0780863761902,2.2111573219299316,202.99939039458118,1.1550205733112757,1.0,1.0,0.0,config,default,BETA_GPU,BetaTabPFN_GPU,tabarena-2025-09-03
TABPFNV2_GPU (default),1221.4,62.4,74.1,47.068627450980394,0.4643182854537164,0.19691032345080373,0.06588856162404388,0.04738030818895311,0.04183212502412361,0.0,1.0,0.0,50.0,12.262318129632988,0.840339740117391,4.402487897916245,0.4476957107715114,0.8444382894917437,0.8444382894917437,0.35294117647058826,49.5,0.1402042711234921,0.16194482967372786,0.22782051282051285,9.203422546386719,0.3870081901550293,3.265853212171214,0.315018795225388,1.0,1.0,0.0,config,default,TABPFNV2_GPU,TabPFNv2_GPU,tabarena-2025-06-12
MNCA_GPU (default),1216.4,58.3,47.7,47.53921568627451,0.4588463292293662,0.20981120323975003,0.06121389703902566,0.053856823567632495,0.04605343095860727,1.0,0.0,0.0,50.0,245.15467273020278,8.083605813045128,18.527492172330746,1.1277594962302973,0.8997527517681125,0.8997527517681125,0.0,48.0,0.12353694726078579,0.1404239024269496,0.2129734180930276,40.294944524765015,0.5322227478027344,13.741832082594875,0.31576028319217697,1.0,1.0,0.0,config,default,MNCA_GPU,ModernNCA_GPU,tabarena-2025-06-12
EBM (tuned),1207.4,50.7,48.6,48.3921568627451,0.4489284085727314,0.20259266130897693,0.0721653793919119,0.05420611299976755,0.026719389053810643,0.0,0.0,0.0,51.0,52874.45252688726,0.2535079133276846,14019.90900467862,0.07735674931522718,0.9063121566573452,0.9063121566573452,0.0,49.0,0.13536432160803968,0.13328853046594982,0.21322872398387271,3882.65318107605,0.03539562225341797,1877.6824729228317,0.013962268829345703,1.0,1.0,0.0,hpo,tuned,EBM,ExplainableBM,tabarena-2026-07-13
XT (tuned + ensemble),1194.6,51.8,47.5,49.588235294117645,0.43502051983584133,0.20727062635834528,0.053896803505182306,0.051910501658245733,0.027827356398238384,0.0,0.0,0.5,50.5,1429.3306673461316,2.111716391993504,670.4077574629857,1.207567432769921,0.9135235026023052,0.9135235026023052,0.0,51.0,0.15410235639382341,0.15919362400375106,0.21269374175134736,1227.2852249145508,1.7344141006469727,257.6385593164769,0.8460764957563526,1.0,1.0,0.0,hpo,tuned_ensemble,XT,ExtraTrees,tabarena-2026-07-13
NN_TORCH (tuned),1188.5,49.6,60.2,50.166666666666664,0.42829457364341084,0.20023391962026874,0.0671983043544033,0.04678294582930398,0.02614485878108136,0.0,0.0,0.0,51.0,29357.971773493522,0.60710202478895,3695.047548553409,0.18499297409008758,0.907033785300202,0.907033785300202,0.0,49.0,0.1310745635518218,0.12951242802918597,0.21109146565727777,10620.000384569168,0.22349023818969727,2832.926208982787,0.11152923107147217,1.0,1.0,0.0,hpo,tuned,NN_TORCH,NeuralNetTorch,tabarena-2025-06-12
EBM (default),1188.3,52.0,55.7,50.18627450980392,0.42806657546739624,0.2097161731209545,0.07629133500747273,0.0554403100679145,0.04200346035535229,1.0,0.0,0.0,50.0,201.3862394398334,0.18454338522518382,38.08545731797137,0.0667994694405469,0.9071598524431306,0.9071598524431306,0.0,51.0,0.1479830876471261,0.13791930412445086,0.21025754487592074,14.545249700546265,0.047446489334106445,6.9024058688393035,0.014850139617919922,1.0,1.0,0.0,config,default,EBM,ExplainableBM,tabarena-2026-07-13
XGB (default),1183.3,52.1,54.6,50.64705882352941,0.42270861833105333,0.2000567251045505,0.061358794255133714,0.04475097071679823,0.031559787839627526,0.0,1.0,0.0,50.0,13.003299437317194,0.6573358236574659,3.277058620392009,0.306127635443619,0.9194994198179868,0.9194994198179868,0.0,49.0,0.13810871452571283,0.15504966564024028,0.21745863756596343,6.575343370437622,0.39388179779052734,2.059264147815584,0.12183857766160212,1.0,1.0,0.0,config,default,XGB,XGBoost,tabarena-2025-06-12
FASTAI (tuned + ensemble),1168.7,65.0,66.7,52.009803921568626,0.4068627450980392,0.21651780573877447,0.06619181689954948,0.04201785310516784,0.0245909048691343,0.0,0.0,0.0,51.0,6591.795950641819,16.245619264303468,1342.6583955721599,7.486192598441844,0.9244169330847138,0.9244169330847138,0.0,58.0,0.16502192982456143,0.14371096635551595,0.22664938543111787,3142.961499929428,10.290910243988037,594.9528585230638,4.648952579498291,1.0,1.0,0.0,hpo,tuned_ensemble,FASTAI,NeuralNetFastAI,tabarena-2025-06-12
XT (tuned),1166.1,56.9,63.7,52.245098039215684,0.40412676698586414,0.21866480375277975,0.06190958010805514,0.055551229252965545,0.02691168922893712,0.0,0.0,0.5,50.5,1429.3306673461316,0.19910509446088007,670.4077574629857,0.15914724186477322,0.9326917501236838,0.9326917501236838,0.0,54.0,0.16123253349541267,0.1587321474155363,0.21359758161812437,1227.2852249145508,0.19906854629516602,257.6385593164769,0.06779141737763737,1.0,1.0,0.0,hpo,tuned,XT,ExtraTrees,tabarena-2026-07-13
TA-NORI-30M (default),1161.7,89.1,84.8,52.64705882352941,0.399452804377565,0.23841003191816135,0.06871834274118721,0.052238443898500186,0.04542408375360689,0.0,0.0,1.0,50.0,24.19459312102374,3.7565807828716204,4.199077636348185,0.8907296331200851,0.8258147413962865,0.8258147413962865,0.7450980392156863,63.5,0.15485352787844997,0.1760543976686953,0.23701012383964215,2.08131742477417,0.1266164779663086,0.5286672115325928,0.0774082328592028,1.0,1.0,1.0,config,default,TA-NORI-30M,Nori-30M,tabarena-2026-07-13
RF (tuned + ensemble),1160.5,54.0,54.5,52.76470588235294,0.39808481532147744,0.21771377089834776,0.05455604520119778,0.054872577586611015,0.022531442424148385,0.0,0.0,0.0,51.0,2227.1437476008546,2.46178646181144,529.0363028754298,1.2207459973834376,0.9286063632428357,0.9286063632428357,0.0,54.0,0.15060286526449862,0.15576193868694924,0.2165086629617522,876.37784075737,1.7210140228271484,377.142115259619,0.7469116354623846,1.0,1.0,0.0,hpo,tuned_ensemble,RF,RandomForest,tabarena-2025-06-12
GBM (default),1154.8,47.8,46.2,53.28431372549019,0.39204286365709073,0.20683185932263407,0.06180328284754452,0.04356556859269051,0.021413350023876312,0.0,0.0,0.0,51.0,9.322186521455354,1.1440442029167623,3.1999218796516997,0.31463873511017804,0.9358364961114068,0.9358364961114068,0.0,53.0,0.14615442417398927,0.14807982716277232,0.21882938874249858,6.97411584854126,0.6232860088348389,2.2021467310523017,0.17114277689525664,1.0,1.0,0.0,config,default,GBM,LightGBM,tabarena-2025-06-12
TA-NORI (default),1152.1,90.7,83.6,53.529411764705884,0.38919288645690836,0.24098341097920156,0.06951292224930439,0.0522664527681016,0.038962385662727715,0.0,0.0,1.0,50.0,13.800132695366354,1.582021297193041,3.432468893279215,0.5104589684247363,0.8430775550473203,0.8430775550473203,0.7450980392156863,63.5,0.15485352787844997,0.22566704416760744,0.23701012383964215,2.08131742477417,0.1266164779663086,0.5286672115325928,0.0774082328592028,1.0,1.0,1.0,config,default,TA-NORI,Nori,tabarena-2026-07-13
RF (tuned),1123.1,45.8,46.4,56.14705882352941,0.3587551299589603,0.22516485413359816,0.054394115828676926,0.05379318680361814,0.019878520860156602,0.0,0.0,0.0,51.0,2227.1437476008546,0.2597549288880591,529.0363028754298,0.14411838795084292,0.9594992030095709,0.9594992030095709,0.0,57.0,0.15070743735969028,0.1753896661221589,0.21762013729977114,876.37784075737,0.15849757194519043,377.142115259619,0.09141294871228287,1.0,1.0,0.0,hpo,tuned,RF,RandomForest,tabarena-2025-06-12
FASTAI (tuned),1105.0,63.9,73.2,57.745098039215684,0.3401732786137711,0.23123453914360148,0.06695075994990501,0.04394411899690456,0.021800977900658873,0.0,0.0,0.0,51.0,6591.795950641819,1.031626776152966,1342.6583955721599,0.6253627025034233,0.9545797036104178,0.9545797036104178,0.0,61.0,0.18308832151516963,0.14645371687801384,0.230066749626332,3142.961499929428,0.8062961101531982,594.9528585230638,0.3360688367629434,1.0,1.0,0.0,hpo,tuned,FASTAI,NeuralNetFastAI,tabarena-2025-06-12
TA-ILTM (default),1082.3,51.1,67.3,59.69607843137255,0.3174874601003192,0.24090931982435612,0.06066798475167387,0.05023291468439234,0.02469121567344059,0.0,0.0,1.0,50.0,1513.0692572079454,159.21624170565138,413.4515281655619,144.7111502467337,0.9528762504925918,0.9528762504925918,0.0,65.0,0.16322188449847963,0.17636432777196231,0.21325580665913058,1122.6648044586182,141.47196793556213,300.99888680703964,65.82658097223582,1.0,1.0,0.0,config,default,TA-ILTM,iLTM,tabarena-2026-05-13
PB (tuned + ensemble),1079.5,58.0,64.2,59.931372549019606,0.3147514819881441,0.27756226466792816,0.07150039184881907,0.06444740349050024,0.019719793953260532,0.0,0.0,0.0,51.0,5226.060197222467,16.079361976361742,2690.448922405171,3.947101061853518,0.9361659688150128,0.9361659688150128,0.0,64.0,0.17742529412977548,0.23695520784366303,0.23007518796992477,382.8564655780792,2.2666819095611572,176.26175713539124,0.49932644798169673,1.0,1.0,0.0,hpo,tuned_ensemble,PB,PerpetualBooster,tabarena-2026-03-18
TABSTAR (tuned),1074.2,85.1,89.0,60.372549019607845,0.30962152302781576,0.26546260710799946,0.07887505575314468,0.061878569341451944,0.04079440909346642,0.0,2.0,0.0,49.0,159605.1733577906,41.48959353390862,52823.040621849985,15.015285201548942,0.9115444245511065,0.9115444245511065,0.0,68.0,0.1920164898484904,0.18716086208098806,0.21340703832390162,167408.38667988777,9.79713487625122,39935.245136773934,4.287639082786058,1.0,1.0,0.0,hpo,tuned,TABSTAR,TabSTAR,tabarena-2026-03-18
[Leakage] TabSTAR_base (default),1073.3,67.2,70.4,60.450980392156865,0.3087095303237574,0.261398551835414,0.07771599758970882,0.06258581238525227,0.03427320321372889,0.0,0.0,2.0,49.0,1490.7153631191627,58.33853039554521,251.09402343582127,17.534104626433127,0.9389207008602074,0.9389207008602074,0.0,66.0,0.16315763215508172,0.2079631819723678,0.23135400113306592,1038.6962909698486,12.99135446548462,185.6161467075348,3.265627303652063,1.0,1.0,0.0,config,default,[Leakage] TabSTAR_base,[Leakage] TabSTAR_base,[Leakage] TabSTAR_base
TABSTAR (tuned + ensemble),1071.8,84.5,91.8,60.57843137254902,0.3072275421796626,0.26656028020006134,0.07848987274160263,0.06115913964188374,0.034619628169111086,0.0,0.0,1.0,50.0,159605.1733577906,127.37209558019451,52823.040621849985,57.85567537251089,0.9146016315531645,0.9146016315531645,0.0,72.0,0.19448462057660787,0.18769973011041874,0.21342895152834007,167408.38667988777,36.188642263412476,39935.245136773934,20.16570119648518,1.0,1.0,0.0,hpo,tuned_ensemble,TABSTAR,TabSTAR,tabarena-2026-03-18
TA-ORION-MSP (default),1048.5,48.5,52.1,62.490196078431374,0.28499772001823986,0.24926615153942544,0.05936615922501509,0.053307782660601655,0.017712294240534148,0.0,0.0,0.0,51.0,260.40197305118335,48.29970676291223,29.713004113964136,8.212324357779535,0.9762976012709993,0.9762976012709993,0.2549019607843137,65.5,0.18658623130992025,0.22738552519522706,0.22706034533088137,35.0504789352417,2.7886714935302734,12.40124043665434,2.5580293662293694,1.0,1.0,0.0,config,default,TA-ORION-MSP,OrionMSP,tabarena-2026-05-13
[Leakage] TabSTAR_wrong (default),1047.6,76.2,74.5,62.55882352941177,0.28419972640218877,0.26610539739858086,0.07738067867820803,0.06647732554129279,0.0693577578088248,2.0,1.0,0.0,48.0,1017.26855728673,49.15627935353447,156.65527848029038,14.970234339160735,0.9162607889199856,0.9162607889199856,0.37254901960784315,68.5,0.2019804761570333,0.2308855942795484,0.23497875122589074,146.94521594047546,1.3032128810882568,97.56213337644098,2.675319622138779,1.0,1.0,0.0,config,default,[Leakage] TabSTAR_wrong,[Leakage] TabSTAR_wrong,[Leakage] TabSTAR_wrong
[Leakage] TabSTAR_correct (default),1043.2,65.8,91.2,62.911764705882355,0.28009575923392616,0.27756733719393833,0.07177821654556604,0.07202263439647194,0.022323552516994357,0.0,0.0,0.0,51.0,1512.874836954416,58.0305299244675,252.93762229492162,17.37010029322481,0.9534612076094167,0.9534612076094167,0.0,68.0,0.20604936709577826,0.2331013870935205,0.24305428329936143,1161.3037648200989,13.018006801605225,185.2878059412158,3.187535532487804,1.0,1.0,0.0,config,default,[Leakage] TabSTAR_correct,[Leakage] TabSTAR_correct,[Leakage] TabSTAR_correct
NN_TORCH (default),1041.1,48.9,63.9,63.07843137254902,0.2781577747378021,0.245961015362448,0.06794828054677535,0.049754873522639825,0.017439989029806237,0.0,0.0,0.0,51.0,73.82550601865731,0.5703827493331012,14.547729829433454,0.24236132002914643,0.9796793165503339,0.9796793165503339,0.0,64.0,0.14708204097240718,0.1787917057981919,0.21872097588816108,30.76021695137024,0.2736239433288574,8.95763915486452,0.12885630130767822,1.0,1.0,0.0,config,default,NN_TORCH,NeuralNetTorch,tabarena-2025-06-12
PB (tuned),1034.7,54.3,59.2,63.588235294117645,0.2722298221614227,0.2905738277183561,0.07134017519662778,0.06561694666986012,0.017125764536014443,0.0,0.0,0.0,51.0,5226.060197222467,5.5724157305324775,2690.448922405171,1.5342057678627874,0.9662946589273275,0.9662946589273275,0.0,66.5,0.17450774409124503,0.25232063285967093,0.22863680941484144,382.8564655780792,0.4022660255432129,176.26175713539124,0.19117007897972382,1.0,1.0,0.0,hpo,tuned,PB,PerpetualBooster,tabarena-2026-03-18
XRFM_GPU (default),1028.6,64.5,75.4,64.05882352941177,0.2667578659370725,0.274931355617005,0.06409635449565876,0.050701380912862165,0.018242818800538973,0.0,0.0,0.0,51.0,43.17065006143906,3.806738212996838,6.133180831126397,1.1264839498260575,0.9624998709432769,0.9624998709432769,0.0,70.0,0.21589384624078545,0.27343875021012953,0.2562105477499491,10.647649765014648,0.8539636135101318,3.144209170151192,0.7405088776090393,1.0,1.0,0.0,config,default,XRFM_GPU,xRFM_GPU,tabarena-2025-09-03
XT (default),1003.8,63.9,70.0,65.94117647058823,0.2448700410396717,0.2703656965268447,0.06673144856384405,0.05756326556031918,0.017274402861881408,0.0,0.0,0.0,51.0,11.472845844194001,0.7438222987979066,4.289694237386161,0.5667211364589922,0.9759291196568433,0.9759291196568433,0.0,71.0,0.18588147097636876,0.258379355068625,0.23228632478632472,7.375749111175537,0.6371681690216064,1.9744557777637153,0.25102583274489937,1.0,1.0,0.0,config,default,XT,ExtraTrees,tabarena-2026-07-13
RF (default),1000.0,57.1,58.4,66.22549019607843,0.2415640674874601,0.27212401671906905,0.0581367854809382,0.06026843528607734,0.016973287837173213,0.0,0.0,0.0,51.0,5.493931228039312,0.18195290658988206,0.9397227305533076,0.07438379695384985,0.9894254504990606,0.9894254504990606,0.0,68.5,0.21589659324156696,0.2801698500149906,0.23701012383964215,1.763962745666504,0.09250092506408691,0.4316611380184793,0.052512513387518854,1.0,1.0,0.0,config,default,RF,RandomForest,tabarena-2025-06-12
TABFLEX_GPU (default),981.2,71.0,77.1,67.57843137254902,0.22583219334245325,0.29323649882596353,0.07881319533249587,0.06520511316929206,0.016508086813909566,0.0,0.0,0.0,51.0,8.42787161060408,0.6632513859692741,2.5093226314316137,0.40732402160562314,0.9782865457817459,0.9782865457817459,0.2549019607843137,70.0,0.20549560312171644,0.27487529535311195,0.24234180933563898,4.580724239349365,0.3842289447784424,0.800741844177246,0.1187795250235341,1.0,1.0,0.0,config,default,TABFLEX_GPU,TabFlex_GPU,tabarena-2025-09-03
FASTAI (default),980.6,60.2,72.7,67.62745098039215,0.22526219790241678,0.267605576366251,0.06246014434388336,0.048630182012231765,0.015763244105066652,0.0,0.0,0.0,51.0,27.62558492492227,1.0500701642503925,4.983829851716967,0.48117064163733236,0.9852752824925769,0.9852752824925769,0.0,72.0,0.20278004905968927,0.22119424938890955,0.23658119658119647,14.524733304977417,0.6894059181213379,3.1153293528650394,0.31195542895805195,1.0,1.0,0.0,config,default,FASTAI,NeuralNetFastAI,tabarena-2025-06-12
TABSTAR (default),971.6,102.8,114.6,68.25490196078431,0.21796625626994984,0.3205787581772202,0.08595971718944062,0.07189740775291673,0.04130234381144799,1.0,0.0,0.0,50.0,2131.1752908744065,51.58516402805553,465.71814358999836,20.87617102507411,0.9339749087543675,0.9339749087543675,0.0,78.0,0.25122910521140596,0.2630970966110092,0.23725671030738238,2630.3587493896484,10.653594493865967,398.7869028721864,4.644942059412272,1.0,1.0,0.0,config,default,TABSTAR,TabSTAR,tabarena-2026-03-18
KNN (tuned + ensemble),970.9,59.3,84.1,68.30392156862744,0.21739626082991337,0.28721410659599883,0.0722866917682598,0.0554309828003785,0.016782001170079504,0.0,0.0,0.0,51.0,7479.34973449333,300.71385903451954,348.9708210879356,18.439805581153212,0.9759390539962441,0.9759390539962441,0.0,71.0,0.23515985605634415,0.267498786876485,0.2320940170940171,420.417236328125,5.422150135040283,129.1739685664235,1.6266450405120851,1.0,1.0,0.0,hpo,tuned_ensemble,KNN,KNeighbors,tabarena-2025-10-20
PB (default),943.0,60.5,82.4,70.16666666666667,0.19573643410852712,0.3402031510310062,0.0785002555774103,0.07381332015986614,0.021171459403922906,0.0,0.0,1.0,50.0,767.2502326310849,0.5092810182010427,431.54592399772525,0.2513050740144506,0.9746441641838564,0.9746441641838564,0.0,75.0,0.2276293839430935,0.33542866743814037,0.2639905935583735,43.245447397232056,0.08040404319763184,22.75529211120946,0.024814776775548275,1.0,1.0,0.0,config,default,PB,PerpetualBooster,tabarena-2026-03-18
LR (tuned + ensemble),902.3,76.6,99.8,72.66666666666667,0.16666666666666666,0.3518483804454924,0.08360675845975812,0.06773311124013748,0.023648684759496778,0.0,1.0,0.0,50.0,1273.2449920598199,1.4999811555825027,517.8341488744331,0.6538001973334836,0.978859890409184,0.978859890409184,0.0,79.0,0.2913812898372845,0.4405695059453409,0.2460526315789474,832.0974633693695,0.6803224086761475,240.7807800292969,0.30845047943972076,1.0,1.0,0.0,hpo,tuned_ensemble,LR,LinearModel,tabarena-2025-10-20
LR (tuned),881.3,84.2,110.2,73.8529411764706,0.15287277701778385,0.357196270861742,0.08561886473099356,0.06840213809635293,0.020048223931154484,0.0,0.0,1.0,50.0,1273.2449920598199,0.35859188846513335,517.8341488744331,0.10415908188063362,0.9848961314676522,0.9848961314676522,0.0,81.0,0.30488361478776815,0.4711673699015474,0.251140350877193,832.0974633693695,0.11032319068908691,240.7807800292969,0.06832648573904744,1.0,1.0,0.0,hpo,tuned,LR,LinearModel,tabarena-2025-10-20
KNN (tuned),826.6,66.5,90.4,76.6078431372549,0.1208390332877337,0.3443312628092876,0.06352533728033383,0.058826802305623205,0.013771514202167883,0.0,0.0,0.0,51.0,7479.34973449333,29.79767501120474,348.9708210879356,1.1589950116678538,0.9859176578020991,0.9859176578020991,0.0,80.0,0.31894440833752724,0.3735114486538029,0.24349855195660186,420.417236328125,0.285475492477417,129.1739685664235,0.10322097135488845,1.0,1.0,0.0,hpo,tuned,KNN,KNeighbors,tabarena-2025-10-20
LR (default),823.2,75.4,102.4,76.76470588235294,0.11901504787961696,0.3816735931388715,0.07949164033350092,0.06536814556300197,0.013693264142349136,0.0,0.0,0.0,51.0,6.458335193933225,0.44977833710464776,2.787269701273138,0.17296567473982596,0.995145173453997,0.995145173453997,0.0,82.0,0.3095657005278255,0.5357237172003276,0.25338232487315304,4.2521257400512695,0.14241671562194824,1.2348434686660767,0.11544764595504146,1.0,1.0,0.0,config,default,LR,LinearModel,tabarena-2025-10-20
KNN (default),616.7,74.8,104.8,83.3529411764706,0.04240766073871409,0.46535005594115647,0.07495590305267691,0.0531005550095478,0.012067598884450392,0.0,0.0,0.0,51.0,2.5689965322905897,0.6719373347712498,0.5666077985136905,0.06668967762279629,1.0,1.0,0.0,86.0,0.3921372979445218,0.8786482334869414,0.29272222810294224,0.744457483291626,0.06936383247375488,0.19231450080871582,0.03668824779971833,1.0,1.0,0.0,config,default,KNN,KNeighbors,tabarena-2025-10-20
