model,dataset_size,dataset,fold,test_score,Created
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,1,0.955026374631912,2025-10-10T05:02:50.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_SAUDI_ARABIA,0,0.9304534282917364,2025-10-10T05:02:44.000Z
TabDPT 6️⃣,10000,REG_SOCIAL_KOREAN_DRAMA,9,0.3521915235355837,2025-10-10T05:02:23.000Z
TabDPT 6️⃣,10000,REG_SOCIAL_KOREAN_DRAMA,8,0.510739168098931,2025-10-10T05:02:19.000Z
TabDPT 6️⃣,10000,REG_SOCIAL_KOREAN_DRAMA,7,0.4075724025084342,2025-10-10T05:01:52.000Z
TabDPT 6️⃣,10000,REG_SOCIAL_KOREAN_DRAMA,6,0.5419001184044421,2025-10-10T05:01:48.000Z
TabDPT 6️⃣,10000,REG_SOCIAL_KOREAN_DRAMA,5,0.4956617493432476,2025-10-10T05:01:21.000Z
TabDPT 6️⃣,10000,REG_SOCIAL_KOREAN_DRAMA,4,0.6112314196905257,2025-10-10T05:01:16.000Z
TabDPT 6️⃣,10000,REG_SOCIAL_KOREAN_DRAMA,3,0.3080525320954048,2025-10-10T05:00:49.000Z
TabDPT 6️⃣,10000,REG_SOCIAL_KOREAN_DRAMA,2,0.5292014242628753,2025-10-10T05:00:45.000Z
TabDPT 6️⃣,10000,REG_SOCIAL_KOREAN_DRAMA,1,0.4351095796830704,2025-10-10T05:00:07.000Z
TabDPT 6️⃣,10000,REG_SOCIAL_KOREAN_DRAMA,0,0.3892796666348466,2025-10-10T05:00:03.000Z
TabDPT 6️⃣,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,9,0.9166565964801788,2025-10-10T04:59:30.000Z
TabDPT 6️⃣,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,8,0.9098564276671433,2025-10-10T04:59:00.000Z
TabDPT 6️⃣,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,7,0.9424124191680604,2025-10-10T04:56:28.000Z
TabDPT 6️⃣,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,6,0.9291275685266646,2025-10-10T04:56:24.000Z
TabDPT 6️⃣,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,5,0.9433620739978446,2025-10-10T04:55:52.000Z
TabDPT 6️⃣,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,4,0.960692002532598,2025-10-10T04:55:21.000Z
TabDPT 6️⃣,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,3,0.9256656601567108,2025-10-10T04:52:49.000Z
TabDPT 6️⃣,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,2,0.9282771043464356,2025-10-10T04:52:40.000Z
TabDPT 6️⃣,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,1,0.9192567745421164,2025-10-10T04:52:13.000Z
TabDPT 6️⃣,10000,REG_CONSUMER_BIKE_PRICE_BIKEWALE,0,0.921699072358212,2025-10-10T04:51:37.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,9,0.9481689725391892,2025-10-10T04:46:45.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,8,0.9999919216779624,2025-10-10T04:46:36.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,7,0.9999851484213552,2025-10-10T04:46:09.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,6,0.999980089512469,2025-10-10T04:45:33.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,5,0.931736558067416,2025-10-10T04:40:41.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,4,0.928811522304072,2025-10-10T04:40:31.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,3,0.9999878077753768,2025-10-10T04:40:04.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,2,0.9999914472221988,2025-10-10T04:39:28.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,1,0.9491128002393724,2025-10-10T04:34:00.000Z
TabDPT 6️⃣,10000,REG_TRANSPORTATION_USED_CAR_MERCEDES_BENZ_ITALY,0,0.9999899603387072,2025-10-10T04:33:24.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,9,0.829308811887983,2025-10-10T04:33:08.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,8,0.8378596989184725,2025-10-10T04:32:58.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,7,0.8169647566915742,2025-10-10T04:26:26.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,6,0.7976703337505411,2025-10-10T04:25:51.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,5,0.8422536056843399,2025-10-10T04:25:35.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,4,0.8261997802989484,2025-10-10T04:25:25.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,3,0.8075702316721995,2025-10-10T04:18:48.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,2,0.8235577173097528,2025-10-10T04:18:18.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,1,0.8326461740704677,2025-10-10T04:17:57.000Z
TabDPT 6️⃣,10000,REG_PROFESSIONAL_EMPLOYEE_RENUMERATION_VANCOUBER,0,0.8320318082122602,2025-10-10T04:17:52.000Z
TabDPT 6️⃣,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,9,0.2349985350844875,2025-10-10T04:17:31.000Z
TabDPT 6️⃣,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,8,0.1650436244488756,2025-10-10T04:17:26.000Z
TabDPT 6️⃣,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,7,0.4406083886694865,2025-10-10T04:17:05.000Z
TabDPT 6️⃣,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,6,0.274524353855051,2025-10-10T04:17:00.000Z
TabDPT 6️⃣,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,5,0.3844582966163026,2025-10-10T04:16:39.000Z
TabDPT 6️⃣,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,4,0.3231945694451058,2025-10-10T04:16:34.000Z
TabDPT 6️⃣,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,3,0.2558622500933379,2025-10-10T04:16:12.000Z
TabDPT 6️⃣,10000,REG_FOOD_CHOCOLATE_BAR_RATINGS,2,0.4170412588188771,2025-10-10T04:16:07.000Z
