"Name","model","fold","dataset","test_score","State","User","Created","Runtime","timestamp","train_examples","metrics_dict.metrics.1-mse","metrics_dict.metrics.r2","metrics_dict.metrics.auc","finetune_exp","is_text","optuna_best_params.d_block","optuna_best_params.dropout","optuna_best_params.lr","optuna_best_params.n_blocks","optuna_best_params.n_threads","optuna_best_params.weight_decay","optuna_n_trials","run_num","score"
"tabm_BIN_PROFESSIONAL_KICKSTARTER_FUNDING_7","TabM Ⓜ️","7","BIN_PROFESSIONAL_KICKSTARTER_FUNDING","0.73720703125","finished","","2025-10-08T09:55:06.000Z","24","2025-10-08 12:55:28","10000","","","0.73720703125","","","","","","","","","","",""
"tabm_BIN_PROFESSIONAL_KICKSTARTER_FUNDING_8","TabM Ⓜ️","8","BIN_PROFESSIONAL_KICKSTARTER_FUNDING","0.7431330422794117","finished","","2025-10-08T09:55:13.000Z","42","2025-10-08 12:55:41","10000","","","0.7431330422794117","","","","","","","","","","",""
"tabm_BIN_PROFESSIONAL_KICKSTARTER_FUNDING_9","TabM Ⓜ️","9","BIN_PROFESSIONAL_KICKSTARTER_FUNDING","0.7352447150735295","finished","","2025-10-08T09:57:51.000Z","47","2025-10-08 12:58:33","10000","","","0.7352447150735295","","","","","","","","","","",""
"tabm_BIN_SOCIAL_IMDB_GENRE_PREDICTION_0","TabM Ⓜ️","0","BIN_SOCIAL_IMDB_GENRE_PREDICTION","0.824404761904762","finished","","2025-10-08T09:55:58.000Z","10","2025-10-08 12:56:07","10000","","","0.824404761904762","","","","","","","","","","",""
"tabm_BIN_SOCIAL_IMDB_GENRE_PREDICTION_1","TabM Ⓜ️","1","BIN_SOCIAL_IMDB_GENRE_PREDICTION","0.925","finished","","2025-10-08T09:57:05.000Z","10","2025-10-08 12:57:14","10000","","","0.925","","","","","","","","","","",""
"tabm_BIN_SOCIAL_IMDB_GENRE_PREDICTION_2","TabM Ⓜ️","2","BIN_SOCIAL_IMDB_GENRE_PREDICTION","0.7916666666666666","finished","","2025-10-08T09:57:17.000Z","10","2025-10-08 12:57:26","10000","","","0.7916666666666666","","","","","","","","","","",""
"tabm_BIN_SOCIAL_IMDB_GENRE_PREDICTION_3","TabM Ⓜ️","3","BIN_SOCIAL_IMDB_GENRE_PREDICTION","0.9041666666666668","finished","","2025-10-08T09:57:10.000Z","10","2025-10-08 12:57:19","10000","","","0.9041666666666668","","","","","","","","","","",""
"tabm_BIN_SOCIAL_IMDB_GENRE_PREDICTION_4","TabM Ⓜ️","4","BIN_SOCIAL_IMDB_GENRE_PREDICTION","0.8470238095238095","finished","","2025-10-08T09:58:53.000Z","15","2025-10-08 12:59:02","10000","","","0.8470238095238095","","","","","","","","","","",""
"tabm_BIN_SOCIAL_IMDB_GENRE_PREDICTION_5","TabM Ⓜ️","5","BIN_SOCIAL_IMDB_GENRE_PREDICTION","0.8845238095238095","finished","","2025-10-08T09:58:21.000Z","11","2025-10-08 12:58:31","10000","","","0.8845238095238095","","","","","","","","","","",""
"tabm_BIN_SOCIAL_IMDB_GENRE_PREDICTION_6","TabM Ⓜ️","6","BIN_SOCIAL_IMDB_GENRE_PREDICTION","0.8214285714285714","finished","","2025-10-08T09:59:02.000Z","10","2025-10-08 12:59:11","10000","","","0.8214285714285714","","","","","","","","","","",""
"tabm_BIN_SOCIAL_IMDB_GENRE_PREDICTION_7","TabM Ⓜ️","7","BIN_SOCIAL_IMDB_GENRE_PREDICTION","0.8607142857142858","finished","","2025-10-08T10:03:25.000Z","17","2025-10-08 13:03:41","10000","","","0.8607142857142858","","","","","","","","","","",""
"tabm_BIN_SOCIAL_IMDB_GENRE_PREDICTION_8","TabM Ⓜ️","8","BIN_SOCIAL_IMDB_GENRE_PREDICTION","0.8744047619047619","finished","","2025-10-08T10:03:22.000Z","14","2025-10-08 13:03:35","10000","","","0.8744047619047619","","","","","","","","","","",""
"tabm_BIN_SOCIAL_IMDB_GENRE_PREDICTION_9","TabM Ⓜ️","9","BIN_SOCIAL_IMDB_GENRE_PREDICTION","0.7666666666666666","finished","","2025-10-08T10:03:34.000Z","23","2025-10-08 13:03:56","10000","","","0.7666666666666666","","","","","","","","","","",""
"tabm_BIN_SOCIAL_JIGSAW_TOXICITY_0","TabM Ⓜ️","0","BIN_SOCIAL_JIGSAW_TOXICITY","0.9951945739276176","finished","","2025-10-08T10:03:34.000Z","36","2025-10-08 13:04:08","10000","","","0.9951945739276176","","","","","","","","","","",""
"tabm_BIN_SOCIAL_JIGSAW_TOXICITY_1","TabM Ⓜ️","1","BIN_SOCIAL_JIGSAW_TOXICITY","0.9960107543776952","finished","","2025-10-08T09:59:52.000Z","18","2025-10-08 13:00:09","10000","","","0.9960107543776952","","","","","","","","","","",""
"tabm_BIN_SOCIAL_JIGSAW_TOXICITY_2","TabM Ⓜ️","2","BIN_SOCIAL_JIGSAW_TOXICITY","0.9946009881457428","finished","","2025-10-08T10:00:53.000Z","18","2025-10-08 13:01:09","10000","","","0.9946009881457428","","","","","","","","","","",""
"tabm_BIN_SOCIAL_JIGSAW_TOXICITY_3","TabM Ⓜ️","3","BIN_SOCIAL_JIGSAW_TOXICITY","0.9908954416103634","finished","","2025-10-08T10:00:57.000Z","17","2025-10-08 13:01:13","10000","","","0.9908954416103634","","","","","","","","","","",""
"tabm_BIN_SOCIAL_JIGSAW_TOXICITY_4","TabM Ⓜ️","4","BIN_SOCIAL_JIGSAW_TOXICITY","0.9966654445782922","finished","","2025-10-08T10:01:12.000Z","25","2025-10-08 13:01:30","10000","","","0.9966654445782922","","","","","","","","","","",""
"tabm_BIN_SOCIAL_JIGSAW_TOXICITY_5","TabM Ⓜ️","5","BIN_SOCIAL_JIGSAW_TOXICITY","0.9884207126521064","finished","","2025-10-08T10:02:19.000Z","16","2025-10-08 13:02:34","10000","","","0.9884207126521064","","","","","","","","","","",""
"tabm_BIN_SOCIAL_JIGSAW_TOXICITY_6","TabM Ⓜ️","6","BIN_SOCIAL_JIGSAW_TOXICITY","0.996093681803104","finished","","2025-10-08T10:03:01.000Z","20","2025-10-08 13:03:20","10000","","","0.996093681803104","","","","","","","","","","",""
"tabm_BIN_SOCIAL_JIGSAW_TOXICITY_7","TabM Ⓜ️","7","BIN_SOCIAL_JIGSAW_TOXICITY","0.9944700501056234","finished","","2025-10-08T10:03:01.000Z","20","2025-10-08 13:03:20","10000","","","0.9944700501056234","","","","","","","","","","",""
"tabm_BIN_SOCIAL_JIGSAW_TOXICITY_8","TabM Ⓜ️","8","BIN_SOCIAL_JIGSAW_TOXICITY","0.9957968889121668","finished","","2025-10-08T10:04:07.000Z","32","2025-10-08 13:04:38","10000","","","0.9957968889121668","","","","","","","","","","",""
"tabm_BIN_SOCIAL_JIGSAW_TOXICITY_9","TabM Ⓜ️","9","BIN_SOCIAL_JIGSAW_TOXICITY","0.995299324359713","finished","","2025-10-08T10:03:37.000Z","19","2025-10-08 13:03:55","10000","","","0.995299324359713","","","","","","","","","","",""
"tabm_MUL_CONSUMER_PRODUCT_SENTIMENT_0","TabM Ⓜ️","0","MUL_CONSUMER_PRODUCT_SENTIMENT","0.9036631083848212","finished","","2025-10-08T10:05:09.000Z","16","2025-10-08 13:05:23","10000","","","0.9036631083848212","","","","","","","","","","",""
"tabm_MUL_CONSUMER_PRODUCT_SENTIMENT_1","TabM Ⓜ️","1","MUL_CONSUMER_PRODUCT_SENTIMENT","0.9128485950814548","finished","","2025-10-08T10:05:09.000Z","10","2025-10-08 13:05:18","10000","","","0.9128485950814548","","","","","","","","","","",""
"tabm_MUL_CONSUMER_PRODUCT_SENTIMENT_2","TabM Ⓜ️","2","MUL_CONSUMER_PRODUCT_SENTIMENT","0.9061552767772676","finished","","2025-10-08T10:08:08.000Z","17","2025-10-08 13:08:24","10000","","","0.9061552767772676","","","","","","","","","","",""
"tabm_MUL_CONSUMER_PRODUCT_SENTIMENT_3","TabM Ⓜ️","3","MUL_CONSUMER_PRODUCT_SENTIMENT","0.8887720071563041","finished","","2025-10-08T10:08:22.000Z","18","2025-10-08 13:08:39","10000","","","0.8887720071563041","","","","","","","","","","",""
"tabm_MUL_CONSUMER_PRODUCT_SENTIMENT_4","TabM Ⓜ️","4","MUL_CONSUMER_PRODUCT_SENTIMENT","0.9134647297041804","finished","","2025-10-08T10:08:41.000Z","29","2025-10-08 13:09:08","10000","","","0.9134647297041804","","","","","","","","","","",""
"tabm_MUL_CONSUMER_PRODUCT_SENTIMENT_5","TabM Ⓜ️","5","MUL_CONSUMER_PRODUCT_SENTIMENT","0.9088125937324174","finished","","2025-10-08T10:08:39.000Z","22","2025-10-08 13:08:54","10000","","","0.9088125937324174","","","","","","","","","","",""
"tabm_MUL_CONSUMER_PRODUCT_SENTIMENT_6","TabM Ⓜ️","6","MUL_CONSUMER_PRODUCT_SENTIMENT","0.906378168096468","finished","","2025-10-08T10:05:32.000Z","13","2025-10-08 13:05:43","10000","","","0.906378168096468","","","","","","","","","","",""
"tabm_MUL_CONSUMER_PRODUCT_SENTIMENT_7","TabM Ⓜ️","7","MUL_CONSUMER_PRODUCT_SENTIMENT","0.9232063077417452","finished","","2025-10-08T10:08:57.000Z","24","2025-10-08 13:09:15","10000","","","0.9232063077417452","","","","","","","","","","",""
"tabm_MUL_CONSUMER_PRODUCT_SENTIMENT_8","TabM Ⓜ️","8","MUL_CONSUMER_PRODUCT_SENTIMENT","0.9236296587193928","finished","","2025-10-08T10:07:03.000Z","10","2025-10-08 13:07:12","10000","","","0.9236296587193928","","","","","","","","","","",""
"tabm_MUL_CONSUMER_PRODUCT_SENTIMENT_9","TabM Ⓜ️","9","MUL_CONSUMER_PRODUCT_SENTIMENT","0.9213968597815724","finished","","2025-10-08T10:07:08.000Z","16","2025-10-08 13:07:19","10000","","","0.9213968597815724","","","","","","","","","","",""
"tabm_MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW_0","TabM Ⓜ️","0","MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW","0.9069894558527944","finished","","2025-10-08T10:06:47.000Z","17","2025-10-08 13:07:03","10000","","","0.9069894558527944","","","","","","","","","","",""
"tabm_MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW_1","TabM Ⓜ️","1","MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW","0.9037480528329144","finished","","2025-10-08T10:08:09.000Z","17","2025-10-08 13:08:25","10000","","","0.9037480528329144","","","","","","","","","","",""
"tabm_MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW_2","TabM Ⓜ️","2","MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW","0.9097539262606296","finished","","2025-10-08T10:08:56.000Z","21","2025-10-08 13:09:12","10000","","","0.9097539262606296","","","","","","","","","","",""
"tabm_MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW_3","TabM Ⓜ️","3","MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW","0.901605291392697","finished","","2025-10-08T10:09:04.000Z","20","2025-10-08 13:09:20","10000","","","0.901605291392697","","","","","","","","","","",""
"tabm_MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW_4","TabM Ⓜ️","4","MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW","0.9023126291634368","finished","","2025-10-08T10:12:38.000Z","36","2025-10-08 13:13:10","10000","","","0.9023126291634368","","","","","","","","","","",""
"tabm_MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW_5","TabM Ⓜ️","5","MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW","0.899247629117909","finished","","2025-10-08T10:09:29.000Z","21","2025-10-08 13:09:46","10000","","","0.899247629117909","","","","","","","","","","",""
"tabm_MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW_6","TabM Ⓜ️","6","MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW","0.9149311113478564","finished","","2025-10-08T10:13:14.000Z","35","2025-10-08 13:13:46","10000","","","0.9149311113478564","","","","","","","","","","",""
"tabm_MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW_7","TabM Ⓜ️","7","MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW","0.9024781096648355","finished","","2025-10-08T10:10:49.000Z","31","2025-10-08 13:11:06","10000","","","0.9024781096648355","","","","","","","","","","",""
"tabm_MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW_8","TabM Ⓜ️","8","MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW","0.9087897270813288","finished","","2025-10-08T10:11:25.000Z","18","2025-10-08 13:11:42","10000","","","0.9087897270813288","","","","","","","","","","",""
"tabm_MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW_9","TabM Ⓜ️","9","MUL_CONSUMER_WOMEN_ECOMMERCE_CLOTHING_REVIEW","0.8981557471626521","finished","","2025-10-08T10:11:26.000Z","23","2025-10-08 13:11:44","10000","","","0.8981557471626521","","","","","","","","","","",""
"tabm_MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS_0","TabM Ⓜ️","0","MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS","0.912637770153554","finished","","2025-10-08T10:13:38.000Z","63","2025-10-08 13:14:30","10000","","","0.912637770153554","","","","","","","","","","",""
"tabm_MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS_1","TabM Ⓜ️","1","MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS","0.9113681961763722","finished","","2025-10-08T10:13:38.000Z","63","2025-10-08 13:14:32","10000","","","0.9113681961763722","","","","","","","","","","",""
"tabm_MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS_2","TabM Ⓜ️","2","MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS","0.9089274485793812","finished","","2025-10-08T10:13:42.000Z","67","2025-10-08 13:14:39","10000","","","0.9089274485793812","","","","","","","","","","",""
"tabm_MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS_3","TabM Ⓜ️","3","MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS","0.9146830074316084","finished","","2025-10-08T10:12:24.000Z","38","2025-10-08 13:12:54","10000","","","0.9146830074316084","","","","","","","","","","",""
"tabm_MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS_4","TabM Ⓜ️","4","MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS","0.9135650844654952","finished","","2025-10-08T10:13:25.000Z","33","2025-10-08 13:13:52","10000","","","0.9135650844654952","","","","","","","","","","",""
"tabm_MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS_5","TabM Ⓜ️","5","MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS","0.9172059261142296","finished","","2025-10-08T10:13:30.000Z","34","2025-10-08 13:13:58","10000","","","0.9172059261142296","","","","","","","","","","",""
"tabm_MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS_6","TabM Ⓜ️","6","MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS","0.8999931871293392","finished","","2025-10-08T10:14:03.000Z","48","2025-10-08 13:14:31","10000","","","0.8999931871293392","","","","","","","","","","",""
"tabm_MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS_7","TabM Ⓜ️","7","MUL_FOOD_MICHELIN_GUIDE_RESTAURANTS","0.9125718371950724","finished","","2025-10-08T10:15:06.000Z","58","2025-10-08 13:16:01","10000","","","0.9125718371950724","","","","","","","","","","",""
